% 1. Title: Tweet NLP Database
% 
% 2. Sources:
%      (a) Creator: Y. Kang and Z. Wang
%      (b) Date: Feb, 2016
@RELATION NLP_project

@ATTRIBUTE first_person_pronouns  NUMERIC
@ATTRIBUTE second_person_pronouns  NUMERIC
@ATTRIBUTE third_person_pronouns  NUMERIC
@ATTRIBUTE coordinating_conjunctions  NUMERIC
@ATTRIBUTE past_tense_verbs  NUMERIC
@ATTRIBUTE future_tense_verbs  NUMERIC
@ATTRIBUTE commas  NUMERIC
@ATTRIBUTE colons_and_semicolons  NUMERIC
@ATTRIBUTE dashes  NUMERIC
@ATTRIBUTE parentheses  NUMERIC
@ATTRIBUTE ellipses  NUMERIC
@ATTRIBUTE common_nouns  NUMERIC
@ATTRIBUTE proper_nouns  NUMERIC
@ATTRIBUTE adverbs  NUMERIC
@ATTRIBUTE wh_words  NUMERIC
@ATTRIBUTE modern_slang_acroynms  NUMERIC
@ATTRIBUTE all_upper_case_words  NUMERIC
@ATTRIBUTE avg_sentence_len NUMERIC
@ATTRIBUTE avg_token_len NUMERIC
@ATTRIBUTE n_sentences NUMERIC
@ATTRIBUTE tclass {0, 4}

@DATA 
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.0,6.0,1,0
1,0,1,0,0,0,1,0,0,0,0,9,0,2,0,0,0,9.33333333333,4.16666666667,3,0
2,1,0,0,0,1,0,0,0,0,0,7,0,2,0,0,0,12.0,4.39130434783,2,0
1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6.0,2.6,1,0
2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.0,3.18181818182,1,0
0,0,0,1,0,0,0,0,0,0,1,4,0,3,0,0,0,16.0,4.25,1,0
2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6.5,4.27272727273,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7.0,3.85714285714,1,0
5,0,0,1,0,0,0,0,0,0,0,5,0,3,0,0,1,11.0,3.45161290323,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,4.25,1,0
0,0,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,13.0,4.92307692308,1,0
4,0,1,1,2,0,1,0,0,0,0,5,1,1,1,0,0,26.0,3.69230769231,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.0,5.0,1,0
2,0,1,0,1,0,1,0,0,0,0,3,1,1,0,0,0,10.0,4.05882352941,2,0
0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,8.0,5.33333333333,1,0
3,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0,6.66666666667,4.64705882353,3,0
3,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,2,7.33333333333,3.47619047619,3,0
0,1,3,0,4,0,0,0,0,0,1,1,0,1,0,0,1,8.0,5.26666666667,2,0
0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,13.0,4.15384615385,1,0
2,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,2,7.5,4.0,2,0
2,0,0,1,1,0,1,1,0,0,0,10,0,2,0,0,0,16.0,3.72413793103,2,0
0,0,0,1,0,0,0,1,0,0,1,6,2,0,0,0,2,12.5,4.29166666667,2,0
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0,3.8,1,0
1,0,0,1,2,0,1,0,0,0,0,5,0,2,0,0,0,25.0,4.04347826087,1,0
1,1,0,1,2,0,0,0,0,0,0,9,0,0,0,0,1,28.0,3.89285714286,1,0
3,0,2,0,3,0,2,0,0,0,0,4,1,4,0,0,0,15.5,3.62962962963,2,0
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9.0,4.44444444444,1,0
0,0,1,1,2,0,0,0,0,0,0,2,0,1,0,0,0,13.0,3.23076923077,1,0
1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,10.0,3.55555555556,1,0
0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,1,15.0,3.92857142857,1,0
0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,8.0,4.28571428571,2,0
1,0,0,0,1,0,0,2,0,0,0,8,0,1,0,0,0,10.0,4.8125,2,0
2,0,0,0,0,0,0,1,0,2,0,5,0,1,0,0,4,12.0,4.52380952381,2,0
1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,7.0,4.66666666667,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5.0,5.0,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0,4.2,1,0
0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,10.0,5.11111111111,1,0
3,0,0,1,0,0,2,0,0,0,1,4,0,2,0,0,0,25.0,4.56,1,0
2,0,0,1,0,0,0,0,0,0,0,4,2,2,0,0,0,18.0,4.11111111111,1,0
1,0,0,1,0,0,0,0,0,2,1,10,0,1,0,0,2,8.66666666667,4.4,3,0
2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,7.0,3.83333333333,2,0
3,0,2,0,2,0,0,0,0,0,1,3,0,1,1,0,0,13.5,3.38461538462,2,0
0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.0,4.0,2,0
1,2,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,14.0,3.78571428571,1,0
2,0,0,0,0,1,0,0,0,0,1,7,0,1,1,0,2,18.0,3.44444444444,1,0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,3.6,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.0,8.0,1,0
4,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,11,6.0,3.41666666667,2,0
0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,11.0,4.0,1,0
