% 1. Title: Tweet NLP Database
% 
% 2. Sources:
%      (a) Creator: Y. Kang and Z. Wang
%      (b) Date: Feb, 2016
@RELATION NLP_project

@ATTRIBUTE first_person_pronouns  NUMERIC
@ATTRIBUTE second_person_pronouns  NUMERIC
@ATTRIBUTE third_person_pronouns  NUMERIC
@ATTRIBUTE coordinating_conjunctions  NUMERIC
@ATTRIBUTE past_tense_verbs  NUMERIC
@ATTRIBUTE future_tense_verbs  NUMERIC
@ATTRIBUTE commas  NUMERIC
@ATTRIBUTE colons_and_semicolons  NUMERIC
@ATTRIBUTE dashes  NUMERIC
@ATTRIBUTE parentheses  NUMERIC
@ATTRIBUTE ellipses  NUMERIC
@ATTRIBUTE common_nouns  NUMERIC
@ATTRIBUTE proper_nouns  NUMERIC
@ATTRIBUTE adverbs  NUMERIC
@ATTRIBUTE wh_words  NUMERIC
@ATTRIBUTE modern_slang_acroynms  NUMERIC
@ATTRIBUTE all_upper_case_words  NUMERIC
@ATTRIBUTE avg_sentence_len NUMERIC
@ATTRIBUTE avg_token_len NUMERIC
@ATTRIBUTE n_sentences NUMERIC
@ATTRIBUTE tclass {0, 4}

@DATA 
1,0,0,1,0,0,0,0,0,0,0,11,2,2,0,0,0,10.0,3.82142857143,3,0
1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,10.0,3.0,1,0
4,0,0,1,2,0,0,0,0,2,0,5,0,2,0,0,0,26.0,3.69230769231,1,0
0,1,1,0,0,0,1,2,0,0,0,9,0,2,1,0,1,8.66666666667,4.65217391304,3,0
2,0,1,1,5,0,0,0,0,0,1,5,0,1,0,0,0,9.0,4.16666666667,3,0
1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,18.0,3.55555555556,1,0
0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,2,5.0,3.6,1,0
3,0,1,4,1,0,1,0,0,0,0,5,0,1,0,0,0,10.3333333333,3.62962962963,3,0
1,0,0,1,0,1,0,1,0,0,0,3,1,1,0,0,0,20.0,3.44444444444,1,0
0,2,0,1,0,0,1,0,0,0,0,5,2,1,0,0,0,23.0,4.47619047619,1,0
1,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,2,7.0,4.16666666667,2,0
2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6.5,3.25,2,0
3,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,15.0,5.0,1,0
1,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,1,6.0,3.83333333333,2,0
3,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,5.5,3.6,2,0
1,1,0,1,0,0,1,0,1,0,0,6,0,2,2,0,0,13.0,4.0,2,0
3,0,0,1,0,0,0,0,0,0,0,7,1,1,0,0,1,8.33333333333,4.04545454545,3,0
2,0,0,1,1,0,0,0,0,0,0,17,0,0,0,0,1,6.2,3.57142857143,5,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.14285714286,1,0
4,0,0,0,2,0,1,1,0,2,0,6,0,1,1,0,1,7.66666666667,3.85,3,0
4,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,22.0,3.66666666667,1,0
2,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,2,6.66666666667,4.16666666667,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,4.4,1,0
1,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,10.0,4.4,1,0
